ID,Career Path,Field,Specialization,Required Skills
CP0023,Finance - Quantitative Analyst,Finance,Quantitative Analyst,"Estate Planning, Retirement Planning, Loan Underwriting, Portfolio Management, Financial Statements, GAAP, Risk Assessment, Series 63, VBA, Financial Analysis, Capital Markets, Mergers & Acquisitions, Series 7, Investment Management, R Programming, Quantitative Analysis, Hedge Funds"
CP0024,Computer Science - Data Scientist,Computer Science,Data Scientist,"Adobe XD, Git, Cybersecurity, Figma, Docker, Mobile Development, Unity, Python, Kubernetes, HTML, Natural Language Processing, UI Design, Microservices, Swift, Test-Driven Development, Blockchain"
CP0025,Marketing - Marketing Director,Marketing,Marketing Director,"Adobe Creative Suite, Marketing ROI, Brand Management, Market Research, Video Marketing, Affiliate Marketing, HubSpot, Social Media Strategy, User Acquisition, Conversion Rate Optimization, Marketo, Illustrator, Copywriting, Press Releases, Public Relations"
CP0026,Finance - Quantitative Analyst,Finance,Quantitative Analyst,"Capital Markets, Insurance Planning, Estate Planning, Financial Analysis, Budgeting, Regulatory Compliance, Equity Research, Bloomberg Terminal, Python for Finance, Risk Assessment, R Programming, Credit Analysis"
CP0027,Finance - Financial Advisor,Finance,Financial Advisor,"Credit Analysis, Tax Planning, Accounting, Financial Statements, Investment Management, SAS, Capital Markets, Risk Assessment, CFA, Hedge Funds, Insurance Planning"
CP0028,Computer Science - Frontend Developer,Computer Science,Frontend Developer,"CI/CD, Android, Networking, System Design, Unity, Hadoop, Machine Learning, C#, Linux, React.js, NoSQL, Microservices, Express.js, Docker"
CP0029,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"Financial Statements, VBA, Insurance Planning, Quantitative Analysis, Series 63, Accounting, IPOs, Estate Planning, Derivatives, Capital Markets, Financial Analysis, FINRA, Excel, STATA, Financial Modeling, Credit Analysis, Forecasting, Risk Assessment, R Programming"
CP0030,Finance - Trader,Finance,Trader,"Budgeting, Risk Assessment, Investment Management, VBA, Retirement Planning, IFRS, GAAP, Estate Planning, STATA, Forecasting"
CP0031,Computer Science - Backend Developer,Computer Science,Backend Developer,"Game Development, Object-Oriented Programming, Functional Programming, UX Design, GraphQL, Networking, Security, Spark, SQL, Swift, Windows Server, Mobile Development, Express.js, Angular, Adobe XD, Web Development, Docker, Blockchain"
CP0032,Finance - Financial Analyst,Finance,Financial Analyst,"IFRS, Wealth Management, Mergers & Acquisitions, Excel, Loan Underwriting, GAAP, CFA, Equity Research, Valuation, Series 7, Tax Planning, Series 63, Accounting, Credit Analysis, Retirement Planning, Derivatives, Financial Statements, Forecasting"
CP0033,Finance - Financial Analyst,Finance,Financial Analyst,"Equity Research, Financial Analysis, Fixed Income, IFRS, Series 7, Insurance Planning, Python for Finance, SAS, Forecasting, Accounting, Financial Statements, Tax Planning, STATA, VBA, Mergers & Acquisitions"
CP0034,Computer Science - Data Engineer,Computer Science,Data Engineer,"DevOps, UI Design, Game Development, SQL, Hadoop, Penetration Testing, HTML, Figma, CI/CD, Unreal Engine"
CP0035,Computer Science - Embedded Systems Developer,Computer Science,Embedded Systems Developer,"Web Development, Figma, TensorFlow, UX Design, Express.js, C#, System Design, Java, Networking, Kotlin, GraphQL, React.js, Responsive Design, Adobe XD, Vue.js, Android, CSS, SQL, Deep Learning"
CP0036,Computer Science - Data Scientist,Computer Science,Data Scientist,"HTML, Security, Node.js, DevOps, Scikit-learn, JavaScript, Scrum, Mobile Development, Test-Driven Development, Android, Kotlin, Azure, Responsive Design, GraphQL, Angular, Linux, Microservices"
CP0037,Marketing - Public Relations Manager,Marketing,Public Relations Manager,"Marketing Metrics, Customer Segmentation, Marketing Strategy, WordPress, Hootsuite, SEO, SEM, Google Analytics, Event Marketing, Market Research"
CP0038,Marketing - Brand Manager,Marketing,Brand Manager,"Product Positioning, Content Marketing, Blogging, Illustrator, Google Analytics, Marketo, Event Marketing, Marketing Strategy, Campaign Management, Customer Retention, Digital Marketing, Influencer Marketing"
CP0039,Marketing - Public Relations Manager,Marketing,Public Relations Manager,"Email Marketing, CRM, Public Relations, Adobe Creative Suite, Marketo, Google Ads, Hootsuite, Buffer, Mailchimp, WordPress, Marketing ROI, Campaign Management, User Acquisition, Illustrator, Marketing Automation"
CP0040,Computer Science - Full-Stack Developer,Computer Science,Full-Stack Developer,"Natural Language Processing, System Design, Web Development, Angular, Big Data, Networking, Scikit-learn, Ethical Hacking, Object-Oriented Programming, Figma"
CP0041,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"Series 63, Due Diligence, Equity Research, IPOs, VBA, Algorithmic Trading, Budgeting, Regulatory Compliance, Hedge Funds, Fixed Income"
CP0042,Marketing - Social Media Manager,Marketing,Social Media Manager,"Video Marketing, Copywriting, Marketo, Product Positioning, Canva, Google Ads, Media Relations, Lead Generation, Photoshop, Conversion Rate Optimization, Marketing Metrics, Affiliate Marketing"
CP0043,Healthcare - Healthcare Administrator,Healthcare,Healthcare Administrator,"Neurology, Medical Records, Healthcare Regulations, Geriatrics, Cardiology, CPT Codes, Sterilization, Patient Assessment, Anatomy, Therapy"
CP0044,Marketing - Growth Hacker,Marketing,Growth Hacker,"Growth Hacking, Buffer, Blogging, Google Ads, Event Marketing, Social Media Strategy, Copywriting, Marketo, Public Relations, HubSpot, Content Marketing, Email Marketing, Affiliate Marketing, Campaign Management, Press Releases, Marketing Analytics, Marketing ROI, Marketing Automation"
CP0045,Marketing - Marketing Director,Marketing,Marketing Director,"Marketing Metrics, Photoshop, Content Marketing, Marketing Automation, Marketo, Facebook Ads, Customer Retention, Lead Generation, Digital Marketing, Brand Management, Marketing Strategy, Press Releases, CRM, Canva, Mailchimp, Campaign Management"
CP0046,Marketing - Content Strategist,Marketing,Content Strategist,"Public Relations, Mobile Marketing, Campaign Management, Social Media Marketing, Product Positioning, User Acquisition, WordPress, Photoshop, Adobe Creative Suite, Competitive Analysis, Customer Segmentation, Press Releases"
CP0047,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"R Programming, Accounting, Estate Planning, FINRA, Forecasting, Financial Modeling, Hedge Funds, Retirement Planning, Financial Statements, Regulatory Compliance, GAAP, Series 63, VBA, Due Diligence, Fixed Income"
CP0048,Computer Science - Full-Stack Developer,Computer Science,Full-Stack Developer,"Git, Windows Server, Cybersecurity, Machine Learning, Docker, Spring, Scrum, Game Development, UI Design, C++, SQL, AWS, Figma, Functional Programming, React.js, Unity, TensorFlow, Data Analysis"
CP0049,Healthcare - Healthcare Administrator,Healthcare,Healthcare Administrator,"Patient Care, Therapy, Healthcare Regulations, Medical Coding, Medical Billing, Physiology, Public Health, Treatment Planning, Rehabilitation, Healthcare IT, CPT Codes, Sterilization, Laboratory Procedures, Orthopedics, Wellness, Vital Signs, Epidemiology"
CP0050,Healthcare - Healthcare Administrator,Healthcare,Healthcare Administrator,"Medication Administration, Emergency Medicine, Oncology, Rehabilitation, Wound Care, CPT Codes, Public Health, Medical Records, Care Planning, Healthcare IT, Epidemiology, Laboratory Procedures, Health Policy, Pathology, Wellness"
CP0051,Healthcare - Pharmacist,Healthcare,Pharmacist,"Rehabilitation, Public Health, Sterilization, Orthopedics, Wound Care, Geriatrics, Medical Diagnosis, Patient Assessment, Surgical Procedures, Neurology, Medical Terminology, ICD-10, Medical Billing, Healthcare IT"
CP0052,Marketing - SEO Specialist,Marketing,SEO Specialist,"Event Marketing, Digital Marketing, User Acquisition, Illustrator, Customer Segmentation, SEM, Marketing ROI, Content Strategy, Marketing Analytics, Media Relations, Google Analytics, Content Marketing, Social Media Strategy, Influencer Marketing, Competitive Analysis"
CP0053,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"PyTorch, Android, AWS, CI/CD, Networking, Functional Programming, UI Design, JavaScript, Spring, Deep Learning, Vue.js, Angular, Machine Learning, Test-Driven Development, Spark, Mobile Development"
CP0054,Computer Science - AI Research Scientist,Computer Science,AI Research Scientist,"RESTful APIs, Node.js, Unity, Java, Azure, Security, Spring, CI/CD, Hadoop, Scikit-learn, Test-Driven Development"
CP0055,Healthcare - Physician,Healthcare,Physician,"Diagnostic Testing, Therapy, Wound Care, Sterilization, Electronic Health Records, Physiology, Nutrition, Medical Research, Healthcare Management, Orthopedics, Patient Education, Mental Health, Vital Signs, Emergency Medicine, Pharmacology, Oncology, Radiology"
CP0056,Finance - Financial Analyst,Finance,Financial Analyst,"Series 63, Portfolio Management, Bloomberg Terminal, Financial Analysis, Accounting, Mergers & Acquisitions, Fixed Income, Retirement Planning, Tax Planning, GAAP, Investment Management, Hedge Funds, Python for Finance, Valuation, Wealth Management, Private Equity, Estate Planning, Equity Research"
CP0057,Computer Science - Game Developer,Computer Science,Game Developer,"Android, Test-Driven Development, Linux, C++, Cloud Computing, TensorFlow, Cybersecurity, Sketch, Deep Learning, Java, Computer Vision, Azure, AWS, Security"
CP0058,Computer Science - Machine Learning Engineer,Computer Science,Machine Learning Engineer,"C#, Ethical Hacking, Game Development, Big Data, TensorFlow, Angular, Node.js, CSS, Microservices, React.js, Security, AR/VR, Natural Language Processing, Docker, Blockchain"
CP0059,Healthcare - Mental Health Counselor,Healthcare,Mental Health Counselor,"Public Health, Pediatrics, Cardiology, Care Planning, Clinical Experience, Medical Diagnosis, Pathology, Vital Signs, Rehabilitation, Healthcare Regulations, Medication Administration, Medical Records, Mental Health"
CP0060,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"Windows Server, Android, Unity, JavaScript, PyTorch, Hadoop, Angular, Mobile Development, Web Development, Natural Language Processing, HTML, Game Development, Node.js, CI/CD, Spring, AWS, Networking, Sketch, Cloud Computing, UI Design"
CP0061,Finance - Investment Banker,Finance,Investment Banker,"Algorithmic Trading, Estate Planning, Derivatives, GAAP, IPOs, Equity Research, Quantitative Analysis, Retirement Planning, Financial Modeling, FINRA, STATA, Accounting, Bloomberg Terminal, VBA, Financial Analysis"
CP0062,Healthcare - Physical Therapist,Healthcare,Physical Therapist,"Infection Control, Therapy, Health Policy, Clinical Trials, Nutrition, Care Planning, Orthopedics, Laboratory Procedures, Pathology, Medication Administration"
CP0063,Finance - Financial Advisor,Finance,Financial Advisor,"Budgeting, Hedge Funds, Risk Assessment, Due Diligence, Tax Planning, Regulatory Compliance, Accounting, Credit Analysis, Series 63, Estate Planning"
CP0064,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"Security, RESTful APIs, Swift, AWS, Responsive Design, Adobe XD, Deep Learning, Cloud Computing, Ethical Hacking, Angular, Test-Driven Development, Scikit-learn, Spring, Machine Learning, JavaScript"
CP0065,Computer Science - Embedded Systems Developer,Computer Science,Embedded Systems Developer,"RESTful APIs, Angular, Deep Learning, System Design, Windows Server, Linux, Security, Computer Vision, Test-Driven Development, Data Analysis, Java, React.js, Networking, Sketch, Ethical Hacking, Kotlin, TensorFlow, CI/CD"
CP0066,Healthcare - Dentist,Healthcare,Dentist,"Anatomy, Oncology, Surgical Procedures, Healthcare IT, Medical Records, Geriatrics, Health Policy, Rehabilitation, Orthopedics, Healthcare Management"
CP0067,Computer Science - Mobile App Developer,Computer Science,Mobile App Developer,"Natural Language Processing, Django, Linux, TensorFlow, Azure, Unity, Unreal Engine, AR/VR, Object-Oriented Programming, Express.js, Deep Learning, Kotlin, Windows Server"
CP0068,Marketing - SEO Specialist,Marketing,SEO Specialist,"Customer Retention, Facebook Ads, Marketing Metrics, HubSpot, WordPress, Mailchimp, Marketing Automation, Event Marketing, Mobile Marketing, Marketing ROI, Customer Segmentation, Content Strategy, User Acquisition, Media Relations, Public Relations"
CP0069,Marketing - Product Marketing Manager,Marketing,Product Marketing Manager,"Campaign Management, Customer Segmentation, Video Marketing, Digital Marketing, Mobile Marketing, CRM, Public Relations, Marketing ROI, WordPress, Facebook Ads, A/B Testing, Photoshop"
CP0070,Healthcare - Dentist,Healthcare,Dentist,"Medical Coding, Laboratory Procedures, Medical Terminology, Radiology, ICD-10, Health Policy, Nutrition, Diagnostic Testing, Mental Health, Treatment Planning, Cardiology, Infection Control, Wellness, Pathology, Healthcare IT, HIPAA"
CP0071,Healthcare - Registered Nurse,Healthcare,Registered Nurse,"Medical Terminology, Orthopedics, Diagnostic Testing, Medical Records, Oncology, Mental Health, Medical Coding, HIPAA, Care Planning, Vital Signs, Healthcare IT, Medical Billing, Emergency Medicine, Wellness, Pathology"
CP0072,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"Valuation, Derivatives, Algorithmic Trading, Tax Planning, R Programming, Private Equity, IFRS, Python for Finance, Equity Research, Quantitative Analysis, Excel"
CP0073,Marketing - Market Research Analyst,Marketing,Market Research Analyst,"Public Relations, Hootsuite, SEM, Digital Marketing, Content Marketing, HubSpot, Marketo, Marketing Strategy, Affiliate Marketing, Press Releases, A/B Testing, Buffer, Marketing Metrics"
CP0074,Marketing - Growth Hacker,Marketing,Growth Hacker,"Email Marketing, Mailchimp, Illustrator, Marketing ROI, Mobile Marketing, Social Media Marketing, Product Positioning, Press Releases, SEO, Video Marketing, Customer Segmentation, Content Marketing, Conversion Rate Optimization, User Acquisition, Event Marketing, HubSpot, Competitive Analysis, WordPress"
CP0075,Computer Science - DevOps Engineer,Computer Science,DevOps Engineer,"Django, Git, Microservices, Unreal Engine, Test-Driven Development, Kubernetes, Big Data, Game Development, Data Visualization, Express.js, Spring, NoSQL, Ethical Hacking, Agile"
CP0076,Computer Science - AI Research Scientist,Computer Science,AI Research Scientist,"Big Data, Spark, Test-Driven Development, Linux, Swift, Scrum, Kotlin, RESTful APIs, Spring, CI/CD, Docker, Windows Server, JavaScript, Object-Oriented Programming, CSS, React.js, Ethical Hacking"
CP0077,Marketing - Digital Marketing Specialist,Marketing,Digital Marketing Specialist,"Conversion Rate Optimization, Adobe Creative Suite, WordPress, Mailchimp, Video Marketing, Influencer Marketing, Brand Management, Canva, Customer Retention, Marketo, Press Releases, Product Positioning, Hootsuite"
CP0078,Finance - Risk Manager,Finance,Risk Manager,"R Programming, Due Diligence, Series 63, Mergers & Acquisitions, Hedge Funds, Valuation, Derivatives, Forecasting, Bloomberg Terminal, Financial Analysis, STATA, Equity Research"
CP0079,Healthcare - Veterinarian,Healthcare,Veterinarian,"HIPAA, Patient Assessment, Diagnostic Testing, Healthcare Regulations, Neurology, Mental Health, Pathology, Pediatrics, Vital Signs, Medical Records, Surgical Procedures, Epidemiology, Laboratory Procedures, Emergency Medicine, Medical Billing, Geriatrics, Orthopedics, Patient Care, Pharmacology"
CP0080,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"Networking, Deep Learning, Computer Vision, AWS, DevOps, Flask, Machine Learning, TensorFlow, Big Data, Data Analysis, CI/CD, Web Development, Security"
CP0081,Computer Science - Network Engineer,Computer Science,Network Engineer,"Machine Learning, Microservices, C#, Unity, Node.js, Scrum, CSS, Docker, DevOps, Cloud Computing, Android, System Design, UX Design"
CP0082,Computer Science - Data Scientist,Computer Science,Data Scientist,"AR/VR, Big Data, Ethical Hacking, Hadoop, PyTorch, Cybersecurity, Data Analysis, RESTful APIs, GraphQL, Adobe XD, Vue.js, JavaScript, Windows Server, Docker, DevOps, Swift, SQL"
CP0083,Finance - Portfolio Manager,Finance,Portfolio Manager,"Insurance Planning, Forecasting, Investment Management, Derivatives, Hedge Funds, Private Equity, Estate Planning, Tax Planning, Financial Statements, Python for Finance, Budgeting, FINRA"
CP0084,Computer Science - Frontend Developer,Computer Science,Frontend Developer,"Django, Swift, Angular, UX Design, Machine Learning, Node.js, Natural Language Processing, Windows Server, Big Data, AWS, CI/CD, Python, Linux, Adobe XD, iOS, HTML, Microservices"
CP0085,Healthcare - Physical Therapist,Healthcare,Physical Therapist,"Laboratory Procedures, Radiology, Care Planning, Patient Care, Medical Research, Infection Control, Orthopedics, Clinical Trials, Surgical Procedures, Medical Billing, Pharmacology, Mental Health, Emergency Medicine, Cardiology, Anatomy, Physiology, Rehabilitation, Sterilization, Epidemiology"
CP0086,Finance - Quantitative Analyst,Finance,Quantitative Analyst,"Loan Underwriting, Retirement Planning, Forecasting, IFRS, Excel, Equity Research, Wealth Management, Financial Analysis, Budgeting, SAS, Estate Planning, Private Equity, Portfolio Management, Tax Planning"
CP0087,Computer Science - Software Architect,Computer Science,Software Architect,"Windows Server, Node.js, Swift, Test-Driven Development, PyTorch, Scikit-learn, Express.js, Object-Oriented Programming, Django, Adobe XD, AWS, Hadoop, Responsive Design, Azure, Functional Programming, Spark, Data Visualization, NoSQL, AR/VR, Kotlin"
CP0088,Finance - Auditor,Finance,Auditor,"Bloomberg Terminal, Budgeting, Capital Markets, Fixed Income, FINRA, Python for Finance, Algorithmic Trading, Loan Underwriting, SAS, Estate Planning, Regulatory Compliance, Series 63, Series 7, VBA, Excel, IFRS, Private Equity, STATA, Equity Research, Risk Assessment"
CP0089,Marketing - SEO Specialist,Marketing,SEO Specialist,"Buffer, Marketing Automation, Product Positioning, Influencer Marketing, Competitive Analysis, Adobe Creative Suite, Customer Segmentation, Marketing Strategy, Digital Marketing, HubSpot, SEO, Marketing Metrics, Lead Generation, Marketing Analytics, Public Relations"
CP0090,Marketing - Digital Marketing Specialist,Marketing,Digital Marketing Specialist,"Social Media Strategy, Marketing Metrics, Mailchimp, Copywriting, Video Marketing, Conversion Rate Optimization, Social Media Marketing, Marketing Automation, Competitive Analysis, A/B Testing, Canva, Growth Hacking, Illustrator"
CP0091,Finance - Financial Advisor,Finance,Financial Advisor,"Retirement Planning, IFRS, IPOs, Financial Statements, Risk Assessment, Private Equity, Capital Markets, Budgeting, Estate Planning, Insurance Planning, Financial Modeling, Series 63, Accounting, Fixed Income, CFA, GAAP, Algorithmic Trading, Excel, VBA"
CP0092,Healthcare - Physician,Healthcare,Physician,"Electronic Health Records, Laboratory Procedures, Pharmacology, Clinical Trials, Geriatrics, Vital Signs, Patient Education, Anatomy, Healthcare Management, Emergency Medicine, Health Policy"
CP0093,Computer Science - Cloud Architect,Computer Science,Cloud Architect,"AWS, Penetration Testing, Windows Server, Machine Learning, Vue.js, Swift, Big Data, Azure, CI/CD, Cloud Computing, Object-Oriented Programming, Scrum, Spring, DevOps, Spark, Unreal Engine"
CP0094,Marketing - Growth Hacker,Marketing,Growth Hacker,"Marketing Analytics, SEM, Marketo, Mailchimp, Marketing Automation, Conversion Rate Optimization, Product Positioning, Social Media Strategy, Campaign Management, Hootsuite"
CP0095,Healthcare - Physical Therapist,Healthcare,Physical Therapist,"Vital Signs, Pharmacology, Medical Coding, Rehabilitation, Medical Research, Nutrition, Orthopedics, Medical Terminology, Health Policy, Healthcare Management, Infection Control, Sterilization, Wound Care, Surgical Procedures, Electronic Health Records, Pediatrics, Epidemiology"
CP0096,Computer Science - Software Architect,Computer Science,Software Architect,"Sketch, Agile, Figma, CI/CD, Scrum, CSS, React.js, AR/VR, SQL, DevOps"
CP0097,Computer Science - System Administrator,Computer Science,System Administrator,"Blockchain, Vue.js, Responsive Design, Scikit-learn, React.js, iOS, DevOps, Data Analysis, Computer Vision, Swift, UX Design, System Design"
CP0098,Finance - Quantitative Analyst,Finance,Quantitative Analyst,"Equity Research, Algorithmic Trading, Accounting, Tax Planning, Insurance Planning, GAAP, Valuation, FINRA, Due Diligence, Financial Analysis, Series 63"
CP0099,Computer Science - Software Engineer,Computer Science,Software Engineer,"Agile, Android, AWS, Spark, Computer Vision, Penetration Testing, Web Development, Sketch, Scrum, Node.js, Functional Programming, Unreal Engine, CI/CD"
CP0100,Marketing - Growth Hacker,Marketing,Growth Hacker,"Market Research, Google Analytics, WordPress, Social Media Strategy, Influencer Marketing, Campaign Management, Facebook Ads, Social Media Marketing, Mobile Marketing, Illustrator, Content Marketing, Marketing Analytics, Marketing ROI, Lead Generation, SEM, Marketing Automation, Photoshop, Content Strategy, Hootsuite"
CP0101,Finance - Hedge Fund Analyst,Finance,Hedge Fund Analyst,"GAAP, IPOs, Hedge Funds, Derivatives, CFA, Valuation, VBA, IFRS, Excel, Series 63, Algorithmic Trading, Python for Finance"
CP0102,Finance - Financial Analyst,Finance,Financial Analyst,"IFRS, STATA, FINRA, Fixed Income, Derivatives, Series 63, Excel, Portfolio Management, Equity Research, Retirement Planning"
CP0103,Computer Science - Full-Stack Developer,Computer Science,Full-Stack Developer,"Flask, Figma, GraphQL, Security, Mobile Development, Scikit-learn, Deep Learning, SQL, Unity, Hadoop, PyTorch, Data Visualization, Spring"
CP0104,Computer Science - AI Research Scientist,Computer Science,AI Research Scientist,"Python, Object-Oriented Programming, Mobile Development, Unity, Node.js, GraphQL, Microservices, UX Design, AWS, Cybersecurity"
CP0105,Computer Science - Software Architect,Computer Science,Software Architect,"Windows Server, Data Analysis, Angular, Functional Programming, UX Design, JavaScript, DevOps, Microservices, Agile, Kotlin, Azure, Sketch, React.js, Android, Flask, Vue.js, CI/CD, Python, CSS, Spark"
CP0106,Finance - Risk Manager,Finance,Risk Manager,"Financial Modeling, Investment Management, R Programming, Derivatives, Due Diligence, Series 7, Regulatory Compliance, Capital Markets, Loan Underwriting, Equity Research, Retirement Planning, Tax Planning, Mergers & Acquisitions, Risk Assessment, Algorithmic Trading, FINRA, Insurance Planning"
CP0107,Finance - Quantitative Analyst,Finance,Quantitative Analyst,"Capital Markets, Valuation, Wealth Management, Derivatives, Forecasting, FINRA, Series 7, Mergers & Acquisitions, Budgeting, SAS, Retirement Planning"
CP0108,Marketing - Digital Marketing Specialist,Marketing,Digital Marketing Specialist,"Content Marketing, Buffer, Market Research, Marketing Strategy, WordPress, Mobile Marketing, A/B Testing, Illustrator, Affiliate Marketing, Brand Management, Customer Retention, Facebook Ads, Digital Marketing, Lead Generation, Content Strategy, Google Ads, Hootsuite"
CP0109,Computer Science - Machine Learning Engineer,Computer Science,Machine Learning Engineer,"Responsive Design, Mobile Development, Swift, Docker, Python, Networking, UX Design, Data Visualization, Kotlin, UI Design, Spring, CSS, Azure, Scrum, Cloud Computing, PyTorch, Sketch"
